# id	name	race	hp	atk	def	agi	mp	bprate	skills
74	風蜘蛛	3	25	28	15	19	18	0.2	10
75	樹精	4	32	17	32	12	17	0.2	4
76	死亡樹精	4	28	20	37	9	16	0.2	6
77	黃金樹精	4	38	22	28	10	17	0.2	6
78	慘白樹精	4	29	16	28	17	20	0.2	3
79	冰冷樹精	4	30	15	27	16	22	0.2	7
80	沼澤樹精	4	31	14	29	15	21	0.2	7
81	妖草	4	26	11	16	16	36	0.2	8
82	蔓陀羅草	4	25	13	14	15	38	0.2	5
83	妖花	4	27	12	12	19	35	0.2	5
84	人魔草	4	22	17	11	14	41	0.2	8
85	綠色口臭鬼	4	38	23	16	15	23	0.2	1
86	黃色口臭鬼	4	37	27	18	11	22	0.2	9
87	藍色口臭鬼	4	35	25	15	18	27	0.2	9
88	紅色口臭鬼	4	44	21	14	12	29	0.2	1
89	兇暴仙人掌	4	27	29	22	12	20	0.2	5
90	武術仙人掌	4	24	32	27	10	17	0.2	5
91	兔耳仙人掌	4	28	35	19	14	14	0.2	5
92	印地安仙人掌	4	26	36	24	9	15	0.2	5
93	火焰舞者	4	19	38	18	15	25	0.2	2
94	史萊姆	5	46	26	11	6	16	0.2	1
95	液態史萊姆	5	49	24	15	5	12	0.2	1
96	果凍史萊姆	5	45	31	6	10	13	0.2	1
97	布丁史萊姆	5	40	25	12	8	20	0.2	1
98	火精	5	25	25	25	25	25	0.2	10
99	風精	5	25	25	25	25	25	0.2	10
100	水精	5	25	25	25	25	25	0.2	10
101	地精	5	25	25	25	25	25	0.2	10
102	頑皮炸彈	5	15	15	15	15	40	0.2	8
103	寶貝炸彈	5	14	17	11	16	42	0.2	8
104	大炸彈	5	12	20	14	14	40	0.2	8
105	漂浮炸彈	5	16	14	14	17	39	0.2	8
106	丸子炸彈	5	17	17	7	17	47	0.2	5
107	幻影	5	20	26	25	17	32	0.2	10
108	旋律影子	5	24	28	22	19	27	0.2	10
109	闇影	5	25	23	23	23	26	0.2	10
110	陰影	5	28	24	22	22	24	0.2	10
111	血腥之刃	6	9	39	34	14	24	0.2	9
112	殺龍之刃	6	17	37	41	11	19	0.2	9
113	火焰之刃	6	10	39	28	12	31	0.2	9
114	烈風之刃	6	12	44	29	13	27	0.2	9
115	嚇人箱	6	11	26	26	11	31	0.2	2
116	兔耳嚇人箱	6	9	24	23	16	33	0.2	2
117	紅魔嚇人箱	6	12	32	27	12	27	0.2	5
118	藍魔嚇人箱	6	15	37	28	8	22	0.2	2
119	綠蛙嚇人箱	6	13	35	29	10	23	0.2	2
120	純白嚇人箱	6	9	24	29	11	37	0.2	5
121	冰怪	6	20	30	46	7	12	0.2	10
122	石怪	6	15	38	43	6	13	0.2	10
123	銀怪	6	10	32	48	8	17	0.2	10
124	金怪	6	14	41	40	5	15	0.2	10
125	惡魔螃蟹	6	16	32	35	11	11	0.2	2
126	水晶螃蟹	6	18	31	36	10	10	0.2	8
127	鐵剪螃蟹	6	14	34	37	12	8	0.2	2
128	黃金螃蟹	6	22	30	34	7	12	0.2	8
129	蜥蜴戰士	7	22	32	32	12	12	0.2	3
130	蜥蜴鬥士	7	18	37	37	8	10	0.2	3
131	蜥蝪武士	7	20	31	30	15	14	0.2	3
132	獵豹蜥蜴	7	23	36	28	10	13	0.2	3
133	大地翼龍	7	29	28	32	20	11	0.2	10
134	寒冰翼龍	7	30	30	31	17	12	0.2	10
135	火焰翼龍	7	33	33	25	16	13	0.2	10
136	烈風翼龍	7	32	30	23	20	15	0.2	10
137	翼龍	7	32	30	26	19	18	0.2	5
138	地龍蜥	7	29	34	34	15	8	0.2	8
139	水龍蜥	7	36	38	34	11	6	0.2	8
140	火龍蜥	7	32	37	37	12	7	0.2	8
141	風龍蜥	7	35	35	31	10	9	0.2	8
142	哥布林	8	27	27	27	17	7	0.2	7
143	紅帽哥布林	8	23	30	29	20	5	0.2	7
144	火焰哥布林	8	22	28	26	15	14	0.2	7
145	烈風哥布林	8	30	26	24	23	4	0.2	7
146	巨人	8	38	35	24	9	14	0.2	10
147	單眼巨人	8	34	34	20	12	20	0.2	10
148	泰坦巨人	8	39	30	28	8	15	0.2	10
149	亞特拉斯巨神	8	37	37	17	17	12	0.2	10
150	盜賊	8	23	28	21	31	12	0.2	5
151	山賊	8	28	27	24	26	10	0.2	5
152	海盜	8	19	31	23	28	14	0.2	5
153	破壞狂	8	27	26	30	24	8	0.2	5
154	鳥人	8	17	17	17	37	22	0.2	1
155	幻歌妖	8	15	18	20	38	19	0.2	1
156	狠毒鳥人	8	18	19	14	39	20	0.2	1
157	烈風鳥人	8	13	20	12	42	23	0.2	1
158	黑暗鳥人	8	19	11	11	43	31	0.2	5
159	山飛甲	0	27	21	15	30	27	0.2	4
160	獨角獸	0	17	25	13	28	37	0.2	4
161	天馬	0	22	22	12	32	32	0.2	4
162	麒麟	0	19	27	10	34	30	0.2	4
163	地底龜	0	22	22	37	10	19	0.2	5
164	海底龜	0	23	20	45	4	18	0.2	5
165	火焰龜	0	27	17	42	7	17	0.2	5
166	硬殼龜	0	26	16	47	5	16	0.2	5
167	鐮刀魔	1	23	35	18	17	32	0.2	10
168	暗黑僧侶	1	17	37	22	12	37	0.2	10
169	斬首者	1	19	42	20	15	29	0.2	10
170	冥界死神	1	25	40	12	21	27	0.2	10
171	牙骨	1	27	32	32	12	7	0.2	1
172	顎牙	1	32	29	37	7	5	0.2	1
173	巨牙	1	25	30	27	17	11	0.2	1
174	利牙	1	30	37	30	9	4	0.2	1
175	獅鷲獸	2	22	32	12	42	17	0.2	4
176	變種獅鷲獸	2	26	29	15	39	16	0.2	4
177	布雷歐	2	20	34	9	47	15	0.2	4
178	依格羅斯	2	18	36	11	44	16	0.2	4
179	托羅帝鳥	2	32	20	13	35	10	0.2	2
180	岩地跑者	2	27	22	17	32	12	0.2	2
181	火焰啄木鳥	2	22	27	19	29	13	0.2	2
182	狂奔鳥	2	25	24	18	36	7	0.2	2
183	甲蟲	3	17	37	32	12	17	0.2	8
184	掘地蟲	3	20	35	36	8	16	0.2	8
185	鍬型蟲	3	15	39	29	14	18	0.2	8
186	獨角仙	3	18	41	34	9	14	0.2	8
187	翠綠菇	4	37	12	12	17	37	0.2	4
188	水藍菇	4	38	15	13	15	34	0.2	4
189	粉紅菇	4	35	10	15	14	41	0.2	4
190	星菇	4	40	13	10	13	39	0.2	4
191	綠煙	5	20	20	14	25	36	0.2	3
192	煙霧	5	23	23	8	30	31	0.2	3
193	煙羅	5	22	22	12	27	32	0.2	3
194	棉球	5	25	26	9	25	30	0.2	3
195	盾	6	15	15	45	15	30	0.2	4
196	潛盾	6	17	12	47	12	32	0.2	4
197	強盾	6	19	13	49	11	28	0.2	4
198	神盾	6	16	9	50	8	37	0.2	4
199	岩怪	6	29	22	40	5	14	0.2	7
200	爆岩	6	30	20	42	6	12	0.2	7
201	熔岩	6	32	17	37	7	17	0.2	7
202	影岩	6	31	15	32	12	20	0.2	7
203	希特拉	7	42	42	27	7	7	0.2	6
204	蛟龍	7	40	44	25	8	8	0.2	6
205	埃及眼鏡蛇	7	38	45	30	6	6	0.2	6
206	八岐大蛇	7	46	46	23	5	5	0.2	6
207	口袋龍	7	15	34	21	20	25	0.2	5
208	迷你龍	7	10	35	23	21	26	0.2	5
209	雛龍	7	12	32	22	22	27	0.2	5
210	穴龍	7	11	31	20	25	28	0.2	5
211	大型半獸人	8	34	25	35	10	11	0.2	6
212	豬鬼	8	33	28	33	11	10	0.2	6
213	鋼鬼	8	30	30	30	16	9	0.2	6
214	半獸人	8	32	27	32	12	12	0.2	6
215	陸行鯊	2	29	15	36	14	9	0.2	3
216	沙地鯊(缺)	2	23	13	28	23	8	0.2	10
217	丘陵鯊(缺)	2	18	8	18	33	4	0.2	10
218	岩石鯊	2	27	36	7	8	25	0.2	10
219	雛鳥	2	7	8	5	38	39	0.2	10
220	鴨嘴獸(缺)	2	10	23	7	23	28	0.2	10
221	小鴨子	2	8	14	7	34	28	0.2	10
222	小兔子	2	11	23	7	23	28	0.2	10
223	蛋白石怪(缺)	6	4	8	23	4	28	0.2	10
224	紅寶石怪(缺)	6	11	23	26	6	33	0.2	6
225	岩蟲(缺)	6	28	8	23	8	23	0.2	2
226	水晶怪(缺)	6	18	8	33	4	43	0.2	10
227	刀雞(缺)	0	4	8	4	23	8	0.2	10
228	劍鴕鳥(缺)	0	4	18	8	23	13	0.2	10
229	大刀鴯苗(缺)	0	7	38	8	35	21	0.2	10
230	刀鋒阿姆鳥(缺)	0	4	28	8	23	23	0.2	10
231	火蜥蜴(缺)	7	33	18	18	18	28	0.2	10
232	毒蜥蜴(缺)	7	23	8	13	8	18	0.2	10
233	冰蜥蜴	7	26	12	33	7	27	0.2	10
234	金屬蜥蜴(缺)	7	18	8	33	4	28	0.2	10
235	戴靴怪	3	9	9	30	26	26	0.2	6
236	舞靴怪(缺)	3	8	13	31	35	11	0.2	4
237	潛靴怪(缺)	3	9	25	9	34	26	0.2	4
238	咚咚靴怪(缺)	3	4	18	23	38	8	0.2	10
239	大公雞(缺)		4	38	4	38	48	0.2	10
240	耶誕靴怪(缺)	3	7	24	13	17	7	0.2	10
241	鑽石怪(缺)	6	31	9	23	8	25	0.2	10
242	死神公雞		52	52	52	52	52	0.2	7
243	銀獅	0	18	42	10	32	5	0.2	3
244	黃銅怪	0	32	21	10	34	18	0.2	7
245	鐵獅	0	19	40	11	30	5	0.2	10
246	紅銅怪	0	27	30	13	26	19	0.2	7
247	跳跳地雷	6	31	18	16	8	33	0.2	10
248	碎碎地雷	6	17	27	37	7	17	0.2	4
249	皮皮地雷(缺)	6	14	30	40	7	14	0.2	6
250	薩普地雷(缺)	6	13	28	38	8	23	0.2	4
251	龍骨	1	7	37	12	22	27	0.2	5
252	暗黑龍骨(缺)	1	4	47	11	12	27	0.2	2
253	黃金龍骨	1	7	42	11	12	32	0.2	5
255	走路花妖	4	8	39	25	12	19	0.2	3
256	跑步花妖	4	14	41	16	17	14	0.2	8
257	舞蹈花妖	4	45	14	11	7	38	0.2	7
258	(未命名)(缺)	4	13	38	23	8	8	0.2	3
261	拉札魟怪	2	26	31	20	24	9	0.2	7
262	拉賈魟怪	2	35	24	13	31	7	0.2	10
263	烏賊怪;	4	29	33	38	7	8	0.2	6
272	羅查	7	11	20	25	35	19	0.2	10
282	潛地龍	6	33	38	33	4	8	0.2	8
283	布卡	0	27	22	13	45	8	0.2	9
286	妖化布卡	0	18	15	16	51	15	0.2	1
291	玫瑰粉怪	5	7	23	46	28	6	0.2	10
300	德魯伊之鬼	5	16	12	23	22	47	0.2	10
303	尤拉蝙蝠	2	22	22	22	22	22	0.2	10
304	歐比爾蝙蝠	2	22	22	22	22	22	0.2	10
305	韋伯蝙蝠	2	22	22	22	22	22	0.2	10
306	歐圖蝙蝠	2	22	22	22	22	22	0.2	10
307	愛絲波波	5	34	35	18	19	14	0.2	5
	小可愛優奈		28	28	28	28	28	0.2	
	牛頭狂戰士		25	44	20	30	6	0.2	
	死神亞曆克斯		19	27	24	40	10	0.2	
	死神查理		19	10	24	27	40	0.2	
	死神埃文		40	27	24	19	10	0.2	
	死神格雷爾		27	40	24	19	10	0.2	
	勝利之翼		29	50	13	25	8	0.2	
	諾爾特神鷹		15	6	13	48	43	0.2	
	機甲D4型		35	43	19	20	8	0.2	
	板龍		32	12	27	15	39	0.2	
	符文晶魚		28	6	23	22	46	0.2	
	青蓮仙鳳		14	6	15	45	45	0.2	
	雷伊		23	10	28	20	40	0.2	
	魯帕斯		18	10	17	37	43	0.2	
	海賊王		33	52	12	22	6	0.2	
	黃金巨龍		39	6	12	19	49	0.2	
	雛龍		12	32	22	22	27	0.2	
	皎月公主		16	6	13	40	50	0.2	
	暗月公主		17	50	12	40	6	0.2	
	月宮公主		22	9	43	9	42	0.2	
	水月公主		42	9	22	9	43	0.2	
	猩紅公主		22	43	9	42	9	0.2	
	風月公主		43	42	9	22	9	0.2	
	吞焰妖蛇		31	50	20	18	6	0.2	
	花仙子		33	6	13	26	47	0.2	
	天啟者猶大		17	8	15	40	45	0.2	
	猶大		18	42	14	45	6	0.2	
	地獄將軍		32	18	19	19	32	0.2	
	幽紫魔靈		15	10	17	37	46	0.2	
	德魯伊之魂		28	10	18	22	47	0.2	
	德魯伊之鬼		16	12	23	22	47	0.2	
	青鸞聖鳥		21	40	10	48	6	0.2	
	噬魂毒蟹		31	6	20	20	48	0.2	
	雷霆神獸		15	44	12	48	6	0.2	
	散步花妖		32	10	18	19	46	0.2	
	星綠花妖王		32	6	19	22	46	0.2	
	22週年液態史萊姆		39	6	15	16	49	0.2	
	22週年樹精		35	48	17	19	6	0.2	
	22週年鼠王		31	6	14	24	50	0.2	
	紅翼奇美拉		41	6	11	19	48	0.2	
	改造布雷歐		29	6	16	26	48	0.2	
	布雷歐		20	34	9	47	15	0.2	
	22週年水龍蜥		40	41	17	21	6	0.2	
	22週年黃蜂		23	6	9	40	47	0.2	
	22週年螳螂		29	50	15	23	8	0.2	
	巨錘魔偶		30	42	22	23	8	0.2	
	神隱魔偶		27	47	16	28	6	0.2	
	百變雪怪		28	8	24	25	40	0.2	
	戰爭女神		32	8	17	22	46	0.2	
	阿魯巴斯		32	18	19	19	32	0.2	
	阿魯巴斯克隆體		35	52	13	19	6	0.2	
	暗醫阿魯巴斯		35	8	13	21	48	0.2	
	小魚仙		27	6	19	31	42	0.2	
	琴韻海妖		31	6	19	23	46	0.2	
	古代巨櫻樹王		37	6	16	16	50	0.2	
	古代寒冰樹精		42	33	29	15	6	0.2	
	暗裔龍王		26	50	15	28	6	0.2	
	反轉袋龍		27	8	14	30	46	0.2	
	艷陽鼠王		30	6	11	28	50	0.2	
	百香小妖		30	12	27	13	38	0.2	
	百香公主		36	6	27	16	40	0.2	
	奧林匹斯戰神		45	31	29	12	8	0.2	
	達哈卡		29	35	24	13	19	0.2	
	九頭巨蛇		33	49	17	20	6	0.2	
	喪屍魔龍		42	29	32	8	14	0.2	
	夜魔		30	44	19	26	6	0.2	
	機甲Z6型		35	8	20	19	43	0.2	
	蜜瓜小妖		32	12	16	21	39	0.2	
	蜜瓜公主		35	6	18	21	45	0.2	
	隕星之刃		40	30	29	14	10	0.2	
	冰霜之刃		40	30	14	29	10	0.2	
	滅魔之刃		40	10	29	14	30	0.2	
	碧空之刃		10	40	14	19	40	0.2	
	聖劍		37	6	13	20	49	0.2	
	古代白櫻長老		38	6	17	18	46	0.2	
	精靈女皇		40	6	14	17	48	0.2	
	地寶石精靈		17	42	12	12	42	0.2	
	水寶石精靈		42	12	12	17	42	0.2	
	火寶石精靈		17	12	42	12	42	0.2	
	風寶石精靈		17	12	12	42	42	0.2	
	勝利女神		34	6	16	24	45	0.2	
	機甲R8型		40	35	18	22	10	0.2	
	多刺甲龍		38	40	21	14	12	0.2	
	破曉之刃		27	16	25	15	37	0.2	
	魔劍		30	49	13	27	6	0.2	
	裁岩劍		29	40	30	14	10	0.2	
	霧雨劍		29	40	14	30	10	0.2	
	赤炎劍		29	30	10	14	40	0.2	
	疾風劍		29	10	14	30	40	0.2	
	雷霆之怒		27	37	25	16	15	0.2	
	海洋元素使		50	50	4	17	4	0.2	
	一尾狐		22	22	22	22	22	0.2	
	三尾狐		23	23	23	23	23	0.2	
	五尾狐		24	24	24	24	24	0.2	
	七尾狐		28	19	19	19	40	0.2	
	九尾狐		36	6	15	21	47	0.2	
	銀狐		32	50	14	23	6	0.2	
	神聖巨龍		45	6	14	15	45	0.2	
	古代緋櫻長老		28	6	17	27	47	0.2	
	強襲地雷		34	45	24	12	10	0.2	
	強襲機甲LMX		50	39	16	14	6	0.2	
	水殼龍		32	26	33	17	15	0.2	
	斯巴達戰神		44	40	23	10	8	0.2	
	利刃勇士		40	33	27	15	10	0.2	
	伏葉妖精		28	39	16	25	12	0.2	
	閃光地雷		34	10	24	12	45	0.2	
	機甲G１型		40	22	18	35	10	0.2	
	赤甲黃尾龍		17	15	32	26	33	0.2	
	閃光機甲AEX		41	6	16	16	46	0.2	
	機甲C2型		35	40	22	18	10	0.2	
	土甲龍		32	15	26	17	33	0.2	
	大天使		37	14	23	12	34	0.2	
	光明天使		46	40	14	19	6	0.2	
	天使路西法		43	6	12	19	45	0.2	
	魔弓巴克達		28	48	19	24	6	0.2	
	魔界小惡魔		27	42	21	18	12	0.2	
	天界小惡魔		18	12	21	27	42	0.2	
	深淵小惡魔		27	12	18	21	42	0.2	
	地獄小惡魔		42	21	27	18	12	0.2	
	太陽海豚		41	6	20	15	43	0.2	
	地獄星		32	40	25	18	10	0.2	
	飛刃螳螂		31	49	15	18	12	0.2	
	冥界騎士		33	48	15	21	8	0.2	
	冥府之主		36	6	20	16	47	0.2	
	玫瑰毒怪		39	43	15	20	8	0.2	
	烈風牛頭怪		24	33	20	19	24	0.2	
	烈風牛魔王		15	6	12	46	46	0.2	
	大地牛鬼領主		50	35	13	21	6	0.2	
	寒冰牛鬼領主		34	52	13	20	6	0.2	
	火焰牛鬼領主		14	6	12	48	45	0.2	
	烈風牛鬼領主		37	6	12	20	50	0.2	
	聖晶獨角獸		35	6	16	19	49	0.2	
	冰原獨角獸		31	47	13	26	8	0.2	
	古代紅櫻長老		35	6	24	14	46	0.2	
	地鈴花妖		27	12	14	32	35	0.2	
	水鈴花妖		32	35	14	27	12	0.2	
	火鈴花妖		35	14	32	27	12	0.2	
	風鈴花妖		32	12	14	27	35	0.2	
	橘子公主		37	6	16	22	44	0.2	
	改造樹精		51	24	34	10	6	0.2	
	毒龍骨		28	37	37	12	11	0.2	
	黃金龍骨		28	11	37	12	37	0.2	
	炎心真龍		32	47	14	22	10	0.2	
	冰霜巨龍		36	10	20	14	45	0.2	
	熾炎神鳳		40	4	11	20	50	0.2	
	彩鳳		37	45	13	24	6	0.2	
	雛鳳		37	6	13	24	45	0.2	
	赤鳳		45	37	24	13	6	0.2	
	金鳳		24	6	37	13	45	0.2	
	繽紛水藍鼠		32	6	13	24	50	0.2	
	地獄護衛犬		40	41	15	17	12	0.2	
	海賊王		33	52	12	22	6	0.2	
	修羅歐茲尼克		38	50	11	20	6	0.2	
	鬥神歐茲尼克		40	6	24	15	40	0.2	
	酒仙歐茲那克		43	6	11	17	48	0.2	
	羅剎歐茲那克		45	45	11	18	6	0.2	
	番茄聖女		33	6	16	22	48	0.2	
	吉祥癸兔		40	40	15	15	15	0.2	
	吉利癸兔		15	40	40	15	15	0.2	
	吉星癸兔		40	15	15	15	40	0.2	
	吉兆癸兔		15	15	15	40	40	0.2	
	兔吉祥		30	30	21	21	21	0.2	
	兔吉利		21	30	30	21	21	0.2	
	兔吉星		30	21	21	21	30	0.2	
	兔吉兆		21	21	21	30	30	0.2	
	百兩招財貓		22	22	22	22	22	0.2	
	千兩招財貓		30	16	12	25	40	0.2	
	萬兩招財貓		23	12	20	24	46	0.2	
	十萬兩招財貓		32	36	25	24	8	0.2	
	億萬兩招財貓		38	6	10	21	50	0.2	
	風暴仙靈		44	37	13	21	10	0.2	
	逐月仙靈		46	6	11	13	49	0.2	
	星輝仙靈		50	6	15	6	48	0.2	
	焚炎仙靈		37	10	13	21	44	0.2	
	新生露比		25	25	25	25	25	0.2	
	見習戰斧露比		40	40	15	24	6	0.2	
	見習弓箭手露比		24	40	15	40	6	0.2	
	見習格鬥家露比		22	40	17	40	6	0.2	
	見習劍士露比		32	42	13	32	6	0.2	
	見習巫師露比		36	6	15	26	42	0.2	
	見習騎士露比		40	40	25	14	6	0.2	
	戰斧大師露比		43	52	11	13	6	0.2	
	弓術大師露比		47	46	11	15	6	0.2	
	格鬥大師露比		12	46	11	50	6	0.2	
	劍術大師露比		14	52	11	42	6	0.2	
	巫術大師露比		46	6	11	12	50	0.2	
	槍術大師露比		36	52	11	20	6	0.2	
	火柴小王子		42	6	9	47	21	0.2	
	碧燄		35	10	16	20	44	0.2	
	赤燄		39	6	12	24	44	0.2	
	山隱仙靈		21	10	13	37	44	0.2	
	潮汐仙靈		21	10	37	13	44	0.2	
	焦糖丸子炸彈		12	21	13	32	47	0.2	
	天空元素使		17	4	4	50	50	0.2	
	炎精靈		19	45	12	43	6	0.2	
	烈焰元素使		17	50	4	50	4	0.2	
	大地元素使		50	4	17	4	50	0.2	
	綠沼泥		31	19	37	13	20	0.2	
	岩鐵怪		13	33	22	17	35	0.2	
	靴怪精靈		9	19	23	34	35	0.2	
	冰靴精靈		9	19	34	23	35	0.2	
	木精靈		45	6	19	12	43	0.2	
	光精靈		19	6	12	45	43	0.2	
	冰精靈		43	45	12	19	6	0.2	
	甜心炸彈		15	8	18	34	50	0.2	
	行大運白虎王		38	6	15	19	47	0.2	
	贏珍寶黑虎王		18	42	15	44	6	0.2	
	綠茶麻薯兔兔		21	9	33	20	40	0.2	
	芋泥麻薯兔兔		33	9	20	21	40	0.2	
	紅豆麻薯兔兔		33	40	20	21	9	0.2	
	花生麻薯兔兔		40	33	21	20	9	0.2	
	白櫻麻薯兔兔		42	45	12	20	6	0.2	
	黑醬麻薯兔兔		42	6	12	20	45	0.2	
	布卡		25	21	16	35	26	0.2	
	寄生布卡		25	16	21	26	35	0.2	
	樹精布卡		25	26	21	35	16	0.2	
	布卡四重奏		17	6	17	43	42	0.2	
	陣		17	6	17	42	43	0.2	
	連		42	17	17	43	6	0.2	
	週年慶禮盒地精靈		18	18	48	18	18	0.2	
	週年慶禮盒水精靈		18	18	18	18	48	0.2	
	週年慶禮盒火精靈		18	48	18	18	18	0.2	
	週年慶禮盒風精靈		18	18	18	48	18	0.2	
	天使小熊		14	47	16	42	6	0.2	
	愛情小熊		43	32	20	24	6	0.2	
	戀愛小熊		49	31	19	20	6	0.2	
	愛心小熊		35	6	26	14	44	0.2	
	花生元宵		32	32	32	12	12	0.2	
	芝麻元宵		32	12	32	12	32	0.2	
	流沙元宵		12	32	32	12	32	0.2	
	紅豆元宵		12	12	32	32	32	0.2	
	愛絲波波		35	22	22	22	22	0.2	
	絲諾波波		22	35	22	22	22	0.2	
	聖誕波波		22	22	22	35	22	0.2	
	雪兒波波		22	22	22	22	35	0.2	
	旋律影子		24	28	22	19	27	0.2	
	噩夢旋律影子		23	38	8	50	6	0.2	
	魷魚霸王		13	6	12	46	48	0.2	
	呆萌魷魚		13	9	23	36	42	0.2	
	冷酷魷魚		15	9	21	34	44	0.2	
	暴躁魷魚		12	9	20	37	45	0.2	
	瘋狂魷魚		17	9	15	39	43	0.2	
	閃光魷魚王		30	52	15	22	6	0.2	
	幻影		20	26	25	17	32	0.2	
	深邃幻影		16	6	22	37	44	0.2	
	純白液態史萊姆		50	32	15	17	10	0.2	
	聖金雪橇鹿車		52	39	14	14	6	0.2	
	黑金雪橇鹿車		52	14	39	14	6	0.2	
	黃金雪橇鹿車		52	14	14	39	6	0.2	
	白金雪橇鹿車		39	52	14	14	6	0.2	
	地獄魔王		23	33	20	27	17	0.2	
	魔王撒旦		16	48	11	44	6	0.2	
	深綠蝙蝠		23	31	21	27	18	0.2	
	檸檬蝙蝠		22	33	21	24	20	0.2	
	月兔卜樂		14	24	16	37	34	0.2	
	廣寒仙兔		12	8	13	47	45	0.2	
	曜玉金鵷		23	6	10	46	40	0.2	
	雛鳳		37	6	13	24	45	0.2	
	格陵蘭虎鯊		19	13	15	42	31	0.2	
	北海響尾鯊		42	31	15	19	13	0.2	
	嗜血巡遊鯊		31	42	15	19	13	0.2	
	地獄亡靈		22	24	13	35	26	0.2	
	地獄惡魔		11	6	17	43	48	0.2	
	魔力小黃雞		17	35	15	38	15	0.2	
	寶貝紫藍雞		17	15	15	38	35	0.2	
	永恆熒光雞		17	38	15	35	15	0.2	
	初心粉紅雞		17	15	15	35	38	0.2	
	兔耳魔力小黃雞		19	37	15	40	12	0.2	
	兔耳寶貝紫藍雞		19	12	15	40	37	0.2	
	兔耳永恆熒光雞		19	40	15	37	12	0.2	
